"gene","CNTRL_1","CNTRL_2","CNTRL_3","COLCH_1","COLCH_2","COLCH_3","PACXL_1","PACXL_2","PACXL_3","VINCR_1","VINCR_2","VINCR_3"
"ATF4",8.4608727323875,8.52003660203479,8.28431345546832,8.64859029134202,8.68030190771152,8.60316729231421,8.89468817962329,8.93720827127698,8.7691767100101,8.68913660387794,8.64586126852529,8.64586126852529
"LIF",3.97347850554022,3.57338942291414,3.7729919853722,4.51669141841751,4.71807630136263,4.82891257533237,4.84921505013644,4.70119729194995,4.75011481881279,4.49819374509165,4.36209514374623,4.64358077189557
"IL6",4.03379849048351,4.85389137485435,4.18521340206359,5.02199789201359,5.37213889194456,5.18862916609327,5.64170993029585,6.04699146177903,5.90422802997411,4.70697434460609,5.5199577925134,5.12705062629884
"CREB5",2.55840675043112,2.73611147154793,2.57438198141802,4.80686227553584,4.91042445267163,4.79057129903025,4.69271490554854,4.63496383483018,4.78619101544701,4.59011941684058,4.4711237468516,4.35962800264269
"MMP3",-1.46814416657793,-1.07522029206914,-2.79408114392827,1.1849714099729,1.05364169848044,1.89788908979064,2.69163126637068,2.52507911174957,2.68955837731743,1.10252139368592,1.05965418062676,1.98636257561776
"CXCL3",-0.0290157006250024,0.669070340650885,0.549938494014302,2.36971593526743,2.05269166565756,1.89788908979064,3.02518280153777,3.05076696727398,2.53034815132068,1.94956377768999,2.30773170241418,1.75290280056601
"CXCL5",1.88431877418683,2.20405284631415,1.48986872228312,3.78625739796257,4.04442578088206,3.7250105069384,4.23146026275738,4.65128845773847,4.42030291037172,3.62817601683076,3.99101017709444,3.67889130456413
"CXCL1",2.11432968518424,2.82530637783762,2.49836241250608,3.52737871919321,3.61436162981685,3.64593153424172,3.7729919853722,4.47254290148387,4.28575640341567,3.00500416370577,3.65467111417219,3.40414975410561
"CSF2",-2.6922151088169,-3.25173556862241,-0.996755015921245,0.371219680628999,-0.749798838923338,0.236539327011779,0.0863761588499253,1.13255320123451,0.694760059339912,0.476093378643249,0.363703196548034,0.106460167141908
"MLKL",2.39483903943175,2.40584915461063,2.1885152460387,3.11088287012334,3.02518280153777,3.37542827526482,2.71966709916835,2.89392922175066,2.85273407487891,3.00500416370577,2.98592553902536,3.54130639248482
"MAP2K1",6.20121003165239,6.23715804048009,6.13057724337627,6.77489955928925,6.7393759501894,6.67322558694594,6.57438186065708,6.59861825377996,6.47567759878102,6.81521352634516,6.76083568570532,6.86236210481525
"FOS",1.32645580052738,1.4631767434184,1.48986872228312,3.60593728541023,3.31202908452432,4.02183213128719,4.76629218884545,4.48777130926011,4.80534152273652,3.45241794758942,2.98592553902536,3.97418989570309
"JUNB",3.84863081944747,4.2992817364661,4.07407994240766,5.54256357185434,5.1281141779244,5.23336965025199,5.90441442471957,5.79504110627642,5.52459498241824,5.70531401055242,4.94534479233565,5.52295906820057
"CEBPB",4.28252729625095,4.45177977044358,4.06098757672167,5.50217294245056,5.07787112455868,5.25230602205583,5.1717266486302,5.39692614503513,5.06128088327961,5.23067688218561,4.96023003614833,5.2856575355512
"RELA",7.023865626613,6.97770757614343,6.9190077143813,7.17750340266266,7.25835455163159,7.33260283719506,7.41295977236706,7.38453632420446,7.31180116245627,7.18171695321779,7.22691865399208,7.25589744280956
"JUN",6.86207262186412,6.83424250944082,6.52659487862196,8.30740570867549,8.00168846699708,7.91174405319766,8.21827247461906,8.13910288487111,7.99686153850181,8.08586082194373,7.66219566857204,7.77529380580415
"CSF1",2.72747450176464,2.60141127700779,2.49836241250608,4.23409103897747,4.19089800784086,4.23650046917041,5.0773389670796,5.10171350275594,5.13132068765496,4.4711237468516,4.35748104543231,4.35962800264269
"CHUK",6.2538479965879,6.34260823143673,6.37766512255702,6.65121713836894,6.57421587515964,6.62836500516544,6.53059793812979,6.52336889762221,6.48988102276514,6.60686199037568,6.65966626048168,6.61417663755594
